CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
02;147620;306764;19770;36,0;26,8;46,3;34,1;27,1;25,4;22,4;29,3;19,1;35,0;70,9;62,4;3,3;5,2;25,4;6,2;11,2;2,2;7,2;1,8;-13,7;9360;39070;4,2
04;334396;884176;17070;31,1;36,1;51,6;40,9;36,1;33,0;29,8;37,0;25,3;46,3;75,0;62,5;4,8;7,7;15,7;6,3;16,1;4,1;9,0;3,0;-13,1;8820;37890;4,3
11;5016442;11835148;25210;64,1;16,1;20,1;16,4;18,1;16,2;13,7;10,6;5,6;26,8;86,4;78,1;3,1;5,2;20,3;11,2;4,4;1,7;1,8;0,9;-22,3;11480;50670;4,4
24;1136433;2479514;22780;52,5;13,5;21,4;16,7;15,5;12,6;9,7;9,0;5,9;30,0;70,0;62,4;2,7;4,9;32,0;7,7;5,4;2,0;2,4;1,0;-15,1;12600;37510;3,0
27;1247142;2659104;22750;51,7;13,4;20,8;15,9;15,5;12,8;10,1;9,8;6,4;29,1;70,2;62,0;2,7;5,5;32,1;7,7;5,2;1,8;2,4;1,0;-15,2;12660;38500;3,0
28;1456907;3198282;22480;50,7;13,7;21,9;16,6;15,4;13,1;10,0;9,4;5,6;28,4;70,2;62,3;2,6;5,3;31,4;7,5;5,9;2,1;2,7;1,1;-15,0;12570;37170;3,0
32;2480731;5718342;21420;47,7;18,0;28,7;21,5;19,8;16,6;13,0;11,9;7,2;35,5;72,8;65,0;2,8;5,0;27,4;7,4;7,3;2,5;3,4;1,4;-14,9;11490;36680;3,2
44;2384290;5228174;22960;50,9;15,1;24,3;18,7;17,7;13,6;10,6;10,0;6,3;30,7;70,6;62,6;2,7;5,3;28,7;10,7;5,3;1,8;2,4;1,1;-15,3;12050;40350;3,3
52;1676422;3760615;23050;51,8;11,0;18,0;12,4;11,6;10,3;8,2;8,9;5,0;26,0;72,3;64,6;2,7;5,0;29,5;8,3;4,9;2,0;2,0;0,9;-15,0;13490;37410;2,8
53;1528180;3305598;23240;51,7;11,1;19,4;12,7;11,9;10,5;8,1;9,2;5,6;25,6;68,9;60,5;2,7;5,7;32,6;8,7;4,9;1,8;2,2;0,9;-15,1;13460;38010;2,8
75;2756907;5830276;22710;50,6;13,8;22,8;15,7;14,8;13,3;10,6;11,9;7,4;27,3;68,4;59,4;2,9;6,1;33,0;8,8;5,2;1,7;2,5;1,0;-15,4;12500;38310;3,1
76;2688559;5710048;22010;48,3;17,5;27,8;20,0;19,2;16,9;13,7;13,8;8,7;32,9;68,6;59,1;3,2;6,3;31,1;9,4;6,3;1,9;3,1;1,3;-15,4;11410;38180;3,3
84;3482887;7701272;23800;54,0;13,3;20,5;14,8;14,9;12,6;10,1;9,9;5,8;27,0;75,2;67,4;2,9;4,9;27,0;9,4;4,7;1,8;2,0;0,9;-16,3;12620;42670;3,4
93;2296443;4911527;22820;52,7;17,4;25,0;20,0;19,7;17,2;14,3;12,9;7,6;30,7;70,0;60,3;3,3;6,4;30,2;11,5;5,6;1,7;2,7;1,2;-17,3;11300;41140;3,6
94;128825;257421;22390;50,3;18,1;22,8;19,4;19,0;16,9;16,1;19,7;10,7;28,5;68,6;57,2;2,5;8,9;31,6;11,2;5,5;1,2;3,2;1,1;-16,9;11180;40320;3,6
